run_name	upload_status	result_tar_size_bytes	result_tar_path	hf_repo_id	hf_path	hf_url	remote_stage_dir	result_tar_mtime_epoch	stage_mtime_epoch	slurm_logs	sha256
dexjoco_click_mouse_eval500_A_after_copy_20260619_2128	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_A_after_copy_20260619_2128	0	1781875851		not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6b_20260617_1638	pending_repo_write_access	36002773752	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6b_20260617_1638/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6b_20260617_1638/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6b_20260617_1638/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6b_20260617_1638	1781769551	1781767336	slurm-1673832.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_token_v5_20260617_1326	pending_repo_write_access	38010607082	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_token_v5_20260617_1326/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_token_v5_20260617_1326/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_token_v5_20260617_1326/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_token_v5_20260617_1326	1781751589	1781749318	slurm-1671555.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6_20260617_1631	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_shared_cache_v6_20260617_1631	0	1781685231	slurm-1672468.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_token_v5_20260617_1322	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_token_v5_20260617_1322	0	1781673791	slurm-1671544.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1154	pending_repo_write_access	31937	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1154/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1154/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1154/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1154	1781673302	1781673302	slurm-1670089.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_v4_20260617_1159	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_match_d0_features_v4_20260617_1159	0	1781673088	slurm-1670165.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1138	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_match_d0_features_v4_20260617_1138	0	1781668468		not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_metadata_v3_20260617_0657	pending_repo_write_access	10600577456	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_metadata_v3_20260617_0657/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_metadata_v3_20260617_0657/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_metadata_v3_20260617_0657/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_metadata_v3_20260617_0657	1781666960	1781666358	slurm-1669737.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_metadata_v3_20260617_0658	pending_repo_write_access	10434953890	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_metadata_v3_20260617_0658/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_metadata_v3_20260617_0658/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_metadata_v3_20260617_0658/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_metadata_v3_20260617_0658	1781666939	1781666342	slurm-1669738.out	not_computed
